Rank,Player,ELO,Games,Wins,Win Rate,Peak,Last
-,XxD4RK_W0LFxX+9534,1156.66387753231,3,0.0,0.0%,1193,-5
-,Evenorodds+2809,1156.6325408729945,3,0.0,0.0%,1200,-18
-,Lobster+5525,1156.0410718755786,1,0.0,0.0%,1169,-16
-,Baradhas+8593,1155.5713551996628,0,0.0,0.0%,1156,0
-,mouseinabox+992,1155.551792674948,125,20.0,16.0%,1167,+16
-,chux88+4717,1155.2735731078212,0,0.0,0.0%,1155,0
-,Zeldamon+7946,1154.783036340627,0,0.0,0.0%,1155,0
-,eef99+8799,1154.722762133628,4,0.0,0.0%,1200,-11
-,pashatherussian+5688,1154.6347813680482,0,0.0,0.0%,1155,0
-,FakeSki+4232,1154.08865115234,13,2.0,15.4%,1173,-4
-,Thanhdat+1146,1153.87466221236,3,0.0,0.0%,1200,-24
-,deejaythink+9834,1152.9634695619086,31,6.0,19.4%,1311,-6
-,FVMLion+1706,1152.7420259381067,0,0.0,0.0%,1153,0
-,buurn+343,1152.0955682493702,63,9.0,14.3%,1188,-2
-,TonyDeloreanESQ+4756,1152.081909904269,45,7.0,15.6%,1203,-7
-,Cloudere+8085,1151.5480981638473,0,0.0,0.0%,1152,0
-,sourdoh+5225,1151.046826158672,10,1.0,10.0%,1200,-9
-,Skumfi+5761,1150.84225927734,4,0.0,0.0%,1200,-14
-,NaySmith+3702,1150.1669722122524,4,1.0,25.0%,1196,-18
-,Rabbi+7,1149.7323773472056,2,0.0,0.0%,1178,-19
-,Sirius+9323,1149.2845640303885,6,0.5,8.3%,1210,-10
-,MunkeyBrewster+2527,1149.200349691297,9,1.0,11.1%,1228,-11
-,BugMuff44+9091,1148.897743841236,0,0.0,0.0%,1149,0
-,sontei5+3678,1148.6949598550389,4,0.0,0.0%,1200,-11
-,rhino+3915,1148.173951051222,5,0.0,0.0%,1200,-6
-,Ultcyber+1551,1147.1727027768313,22,2.0,9.1%,1249,-6
-,Riverman+1204,1146.6591141887886,0,0.0,0.0%,1147,0
-,TheIndustrialRevoloution+3880,1146.4996398914252,0,0.0,0.0%,1146,0
-,MoxJet+3716,1145.9427955641918,2,0.0,0.0%,1171,-7
-,ZimaBlue+5729,1145.8476057784524,3,0.0,0.0%,1200,-19
-,marksoz00+1780,1145.8464253416628,6,1.0,16.7%,1185,-16
-,Jerry,1145.4771210569304,0,0.0,0.0%,1145,0
-,Yucca+8041,1144.6377227995006,4,0.0,0.0%,1200,-9
-,Harriet+1445,1144.3436948328601,5,1.0,20.0%,1206,-13
-,McMayo+5829,1144.2380994296518,0,0.0,0.0%,1144,0
